GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Foyer,tn.esprit.spring.schedular,Schedular,0,3,0,0,0,1,0,1,0,1
Foyer,tn.esprit.spring.schedular,Test,0,7,0,0,0,2,0,2,0,2
Foyer,tn.esprit.spring.services.chambre,ChambreService,417,13,42,0,74,2,41,2,18,2
Foyer,tn.esprit.spring.services.bloc,BlocService,173,15,10,0,39,1,14,1,9,1
Foyer,tn.esprit.spring,FoyerApplication,5,3,0,0,2,1,1,1,1,1
Foyer,tn.esprit.spring.dao.entities,Universite,26,24,0,0,3,5,4,7,4,7
Foyer,tn.esprit.spring.dao.entities,Reservation.ReservationBuilder,47,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.dao.entities,Chambre,58,12,0,0,7,3,11,2,11,2
Foyer,tn.esprit.spring.dao.entities,Foyer.FoyerBuilder,56,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.dao.entities,Bloc,29,41,0,0,4,6,8,5,8,5
Foyer,tn.esprit.spring.dao.entities,Chambre.ChambreBuilder,57,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.dao.entities,TypeChambre,0,21,0,0,0,2,0,1,0,1
Foyer,tn.esprit.spring.dao.entities,Universite.UniversiteBuilder,46,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.dao.entities,Reservation,41,19,0,0,5,4,7,4,7,4
Foyer,tn.esprit.spring.dao.entities,Etudiant,71,19,0,0,8,4,13,4,13,4
Foyer,tn.esprit.spring.dao.entities,Foyer,62,8,0,0,8,2,12,1,12,1
Foyer,tn.esprit.spring.dao.entities,Bloc.BlocBuilder,56,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.dao.entities,Etudiant.EtudiantBuilder,74,0,0,0,1,0,10,0,10,0
Foyer,tn.esprit.spring.services.reservation,ReservationService,341,19,18,0,68,3,23,2,13,2
Foyer,tn.esprit.spring.services.foyer,FoyerService,167,12,6,0,35,1,14,1,11,1
Foyer,tn.esprit.spring.services.universite,UniversiteService,4,42,1,1,1,10,1,6,0,6
Foyer,tn.esprit.spring.config,SpringDocConfig,0,164,0,0,0,45,0,11,0,11
Foyer,tn.esprit.spring.services.etudiant,EtudiantService,40,6,2,0,10,1,6,1,5,1
Foyer,tn.esprit.spring.restcontrollers,FoyerRestController,41,6,0,0,10,1,8,1,8,1
Foyer,tn.esprit.spring.restcontrollers,BlocRestController,36,6,0,0,9,1,7,1,7,1
Foyer,tn.esprit.spring.restcontrollers,UniversiteRestController,5,25,0,0,1,7,1,5,1,5
Foyer,tn.esprit.spring.restcontrollers,ReservationRestController,41,6,0,0,10,1,8,1,8,1
Foyer,tn.esprit.spring.restcontrollers,ChambreRestController,41,6,0,0,10,1,8,1,8,1
Foyer,tn.esprit.spring.restcontrollers,EtudiantRestController,24,6,0,0,7,1,5,1,5,1
